File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./AutoTest.v;SimpleTypeIntersection;0;0;NaN;20
./AutoTest.v;SplitTypeIntersection;0;0;NaN;22
./AutoTest.v;StructuredTypeEvaluation;1;1;NaN;23
./AutoTest.v;StructuredTypeEvaluation;1;2;NaN;22
./AutoTest.v;StructuredTypeEvaluation;1;5;NaN;25
./AutoTest.v;StructuredTypeEvaluation;2;1;NaN;23
./AutoTest.v;StructuredTypeEvaluation;2;2;NaN;20
./AutoTest.v;StructuredTypeEvaluation;2;5;NaN;18
./AutoTest.v;StructuredTypeEvaluation;5;1;NaN;17
./AutoTest.v;StructuredTypeEvaluation;5;2;NaN;17
./AutoTest.v;StructuredTypeEvaluation;5;5;NaN;18
./AutoTest.v;StructuredUnification;1;1;NaN;19
./AutoTest.v;StructuredUnification;1;2;NaN;28
./AutoTest.v;StructuredUnification;1;5;NaN;22
./AutoTest.v;StructuredUnification;2;1;NaN;21
./AutoTest.v;StructuredUnification;2;2;NaN;19
./AutoTest.v;StructuredUnification;2;5;NaN;19
./AutoTest.v;StructuredUnification;5;1;NaN;22
./AutoTest.v;StructuredUnification;5;2;NaN;35
./AutoTest.v;StructuredUnification;5;5;NaN;22
./AutoTest.v;StructuredSplitUnification;1;1;NaN;25
./AutoTest.v;StructuredSplitUnification;1;2;NaN;18
./AutoTest.v;StructuredSplitUnification;1;5;NaN;17
./AutoTest.v;StructuredSplitUnification;2;1;NaN;18
./AutoTest.v;StructuredSplitUnification;2;2;NaN;18
./AutoTest.v;StructuredSplitUnification;2;5;NaN;22
./AutoTest.v;StructuredSplitUnification;5;1;NaN;21
./AutoTest.v;StructuredSplitUnification;5;2;NaN;25
./AutoTest.v;StructuredSplitUnification;5;5;NaN;18
./AutoTest.v;StructuredTypeEvaluation;10;10;NaN;18
./AutoTest.v;Basic;0;0;NaN;18
./AutoTest.v;SimpleUnification;0;0;NaN;19
./AutoTest.v;SimpleSplitUnification;0;0;NaN;23
./AutoTest.v;SplitTypeUnification;0;0;NaN;21
./AutoTest.v;SplitTypeSplitUnification;0;0;NaN;23
./AutoTest.v;Shuffle;0;0;NaN;25
./AutoTest.v;ShuffleUnification;0;0;NaN;19
./AutoTest.v;ShuffleSplitUnification;0;0;NaN;18
