File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./Postscript.v;SimpleTypeIntersection;0;0;NaN;19
./Postscript.v;SplitTypeIntersection;0;0;NaN;19
./Postscript.v;StructuredTypeEvaluation;1;1;NaN;21
./Postscript.v;StructuredTypeEvaluation;1;2;NaN;21
./Postscript.v;StructuredTypeEvaluation;1;5;NaN;20
./Postscript.v;StructuredTypeEvaluation;2;1;NaN;19
./Postscript.v;StructuredTypeEvaluation;2;2;NaN;19
./Postscript.v;StructuredTypeEvaluation;2;5;NaN;19
./Postscript.v;StructuredTypeEvaluation;5;1;NaN;21
./Postscript.v;StructuredTypeEvaluation;5;2;NaN;29
./Postscript.v;StructuredTypeEvaluation;5;5;NaN;28
./Postscript.v;StructuredUnification;1;1;NaN;21
./Postscript.v;StructuredUnification;1;2;NaN;20
./Postscript.v;StructuredUnification;1;5;NaN;19
./Postscript.v;StructuredUnification;2;1;NaN;19
./Postscript.v;StructuredUnification;2;2;NaN;25
./Postscript.v;StructuredUnification;2;5;NaN;24
./Postscript.v;StructuredUnification;5;1;NaN;27
./Postscript.v;StructuredUnification;5;2;NaN;19
./Postscript.v;StructuredUnification;5;5;NaN;19
./Postscript.v;StructuredSplitUnification;1;1;NaN;19
./Postscript.v;StructuredSplitUnification;1;2;NaN;20
./Postscript.v;StructuredSplitUnification;1;5;NaN;24
./Postscript.v;StructuredSplitUnification;2;1;NaN;29
./Postscript.v;StructuredSplitUnification;2;2;NaN;25
./Postscript.v;StructuredSplitUnification;2;5;NaN;25
./Postscript.v;StructuredSplitUnification;5;1;NaN;22
./Postscript.v;StructuredSplitUnification;5;2;NaN;20
./Postscript.v;StructuredSplitUnification;5;5;NaN;22
./Postscript.v;StructuredTypeEvaluation;10;10;NaN;25
./Postscript.v;Basic;0;0;NaN;28
./Postscript.v;SimpleUnification;0;0;NaN;30
./Postscript.v;SimpleSplitUnification;0;0;NaN;21
./Postscript.v;SplitTypeUnification;0;0;NaN;21
./Postscript.v;SplitTypeSplitUnification;0;0;NaN;21
./Postscript.v;Shuffle;0;0;NaN;23
./Postscript.v;ShuffleUnification;0;0;NaN;24
./Postscript.v;ShuffleSplitUnification;0;0;NaN;20
