File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./egaliteTS.v;SimpleTypeIntersection;0;0;NaN;22
./egaliteTS.v;SplitTypeIntersection;0;0;NaN;20
./egaliteTS.v;StructuredTypeEvaluation;1;1;NaN;20
./egaliteTS.v;StructuredTypeEvaluation;1;2;NaN;21
./egaliteTS.v;StructuredTypeEvaluation;1;5;NaN;20
./egaliteTS.v;StructuredTypeEvaluation;2;1;NaN;22
./egaliteTS.v;StructuredTypeEvaluation;2;2;NaN;24
./egaliteTS.v;StructuredTypeEvaluation;2;5;NaN;23
./egaliteTS.v;StructuredTypeEvaluation;5;1;NaN;24
./egaliteTS.v;StructuredTypeEvaluation;5;2;NaN;18
./egaliteTS.v;StructuredTypeEvaluation;5;5;NaN;19
./egaliteTS.v;StructuredUnification;1;1;NaN;22
./egaliteTS.v;StructuredUnification;1;2;NaN;22
./egaliteTS.v;StructuredUnification;1;5;NaN;21
./egaliteTS.v;StructuredUnification;2;1;NaN;19
./egaliteTS.v;StructuredUnification;2;2;NaN;21
./egaliteTS.v;StructuredUnification;2;5;NaN;24
./egaliteTS.v;StructuredUnification;5;1;NaN;24
./egaliteTS.v;StructuredUnification;5;2;NaN;22
./egaliteTS.v;StructuredUnification;5;5;NaN;21
./egaliteTS.v;StructuredSplitUnification;1;1;NaN;20
./egaliteTS.v;StructuredSplitUnification;1;2;NaN;19
./egaliteTS.v;StructuredSplitUnification;1;5;NaN;30
./egaliteTS.v;StructuredSplitUnification;2;1;NaN;23
./egaliteTS.v;StructuredSplitUnification;2;2;NaN;21
./egaliteTS.v;StructuredSplitUnification;2;5;NaN;23
./egaliteTS.v;StructuredSplitUnification;5;1;NaN;25
./egaliteTS.v;StructuredSplitUnification;5;2;NaN;23
./egaliteTS.v;StructuredSplitUnification;5;5;NaN;24
./egaliteTS.v;StructuredTypeEvaluation;10;10;NaN;22
./egaliteTS.v;Basic;0;0;NaN;21
./egaliteTS.v;SimpleUnification;0;0;NaN;21
./egaliteTS.v;SimpleSplitUnification;0;0;NaN;22
./egaliteTS.v;SplitTypeUnification;0;0;NaN;31
./egaliteTS.v;SplitTypeSplitUnification;0;0;NaN;22
./egaliteTS.v;Shuffle;0;0;NaN;20
./egaliteTS.v;ShuffleUnification;0;0;NaN;24
./egaliteTS.v;ShuffleSplitUnification;0;0;NaN;24
