File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./ex1_auto.v;StructuredTypeEvaluation;2;2;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;StructuredTypeEvaluation;2;5;58;7;apply;H';1;E;H';H'0;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright
./ex1_auto.v;StructuredTypeEvaluation;2;5;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;StructuredTypeEvaluation;2;5;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;StructuredTypeEvaluation;5;1;58;7;apply;H';75;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright;inleft;right;left
./ex1_auto.v;StructuredTypeEvaluation;5;1;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;StructuredTypeEvaluation;5;1;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;StructuredTypeEvaluation;5;2;58;7;apply;H';38;E;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright;inleft;right
./ex1_auto.v;StructuredTypeEvaluation;5;2;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;StructuredTypeEvaluation;5;2;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;StructuredTypeEvaluation;5;5;58;7;apply;H';1;E;H';H'0;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright
./ex1_auto.v;StructuredTypeEvaluation;5;5;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;StructuredTypeEvaluation;5;5;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveUnification;1;1;58;7;apply;H';-1;trivial;and_commutative;or_commutative;mp;S;Praeclarum;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Decimal.Little.succ_double
./ex1_auto.v;SelectiveUnification;1;1;58;8;apply;H';-1;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int;Hexadecimal.app;Hexadecimal.rev
./ex1_auto.v;SelectiveUnification;1;1;58;9;apply;H';-1;;;;;;;;;;
./ex1_auto.v;SelectiveUnification;1;2;58;7;apply;H';-1;E;trivial;and_commutative;or_commutative;mp;S;Praeclarum;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ
./ex1_auto.v;SelectiveUnification;1;2;58;8;apply;H';-1;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int;Hexadecimal.app;Hexadecimal.rev
./ex1_auto.v;SelectiveUnification;1;2;58;9;apply;H';-1;;;;;;;;;;
./ex1_auto.v;SelectiveUnification;1;5;58;7;apply;H';1;E;H';H'0;trivial;and_commutative;or_commutative;mp;S;Praeclarum;Hexadecimal.Little.succ_double
./ex1_auto.v;SelectiveUnification;1;5;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveUnification;1;5;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveUnification;2;1;58;7;apply;H';-1;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright;inleft;right;left
./ex1_auto.v;SelectiveUnification;2;1;58;8;apply;H';-1;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int;Hexadecimal.app;Hexadecimal.rev
./ex1_auto.v;SelectiveUnification;2;1;58;9;apply;H';-1;;;;;;;;;;
./ex1_auto.v;SelectiveUnification;2;2;58;7;apply;H';38;E;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright;inleft;right
./ex1_auto.v;SelectiveUnification;2;2;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveUnification;2;2;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveUnification;2;5;58;7;apply;H';1;E;H';H'0;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright
./ex1_auto.v;SelectiveUnification;2;5;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveUnification;2;5;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveUnification;5;1;58;7;apply;H';75;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright;inleft;right;left
./ex1_auto.v;SelectiveUnification;5;1;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveUnification;5;1;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveUnification;5;2;58;7;apply;H';38;E;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright;inleft;right
./ex1_auto.v;SelectiveUnification;5;2;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveUnification;5;2;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveUnification;5;5;58;7;apply;H';1;E;H';H'0;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright
./ex1_auto.v;SelectiveUnification;5;5;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveUnification;5;5;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveSplitUnification;1;1;58;7;apply;H';-1;trivial;and_commutative;or_commutative;mp;S;Praeclarum;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Decimal.Little.succ_double
./ex1_auto.v;SelectiveSplitUnification;1;1;58;8;apply;H';-1;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int;Hexadecimal.app;Hexadecimal.rev
./ex1_auto.v;SelectiveSplitUnification;1;1;58;9;apply;H';-1;;;;;;;;;;
./ex1_auto.v;SelectiveSplitUnification;1;2;58;7;apply;H';-1;E;trivial;and_commutative;or_commutative;mp;S;Praeclarum;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ
./ex1_auto.v;SelectiveSplitUnification;1;2;58;8;apply;H';-1;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int;Hexadecimal.app;Hexadecimal.rev
./ex1_auto.v;SelectiveSplitUnification;1;2;58;9;apply;H';-1;;;;;;;;;;
./ex1_auto.v;SelectiveSplitUnification;1;5;58;7;apply;H';1;E;H';H'0;trivial;and_commutative;or_commutative;mp;S;Praeclarum;Hexadecimal.Little.succ_double
./ex1_auto.v;SelectiveSplitUnification;1;5;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveSplitUnification;1;5;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveSplitUnification;2;1;58;7;apply;H';-1;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright;inleft;right;left
./ex1_auto.v;SelectiveSplitUnification;2;1;58;8;apply;H';-1;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int;Hexadecimal.app;Hexadecimal.rev
./ex1_auto.v;SelectiveSplitUnification;2;1;58;9;apply;H';-1;;;;;;;;;;
./ex1_auto.v;SelectiveSplitUnification;2;2;58;7;apply;H';38;E;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright;inleft;right
./ex1_auto.v;SelectiveSplitUnification;2;2;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveSplitUnification;2;2;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveSplitUnification;2;5;58;7;apply;H';1;E;H';H'0;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright
./ex1_auto.v;SelectiveSplitUnification;2;5;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveSplitUnification;2;5;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveSplitUnification;5;1;58;7;apply;H';75;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright;inleft;right;left
./ex1_auto.v;SelectiveSplitUnification;5;1;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveSplitUnification;5;1;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveSplitUnification;5;2;58;7;apply;H';38;E;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright;inleft;right
./ex1_auto.v;SelectiveSplitUnification;5;2;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveSplitUnification;5;2;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SelectiveSplitUnification;5;5;58;7;apply;H';1;E;H';H'0;and_commutative;or_commutative;Praeclarum;Acc_intro_generator;well_founded_induction_type_2;Fix_F_2;inright
./ex1_auto.v;SelectiveSplitUnification;5;5;58;8;apply;H';0;H';H'0;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int
./ex1_auto.v;SelectiveSplitUnification;5;5;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;Basic;;;58;7;apply;H';-1;trivial;and_commutative;or_commutative;mp;S;Praeclarum;resolution;Witnesses;Hexadecimal.Little.succ_double;Hexadecimal.Little.double
./ex1_auto.v;Basic;;;58;8;apply;H';-1;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Number.Hexadecimal;eq_ex_hprop_iff;eq_ex_hprop;eq_sig_hprop_iff;eq_sig_hprop;Nat.to_hex_int;Nat.of_hex_int
./ex1_auto.v;Basic;;;58;9;apply;H';-1;;;;;;;;;;
./ex1_auto.v;SimpleUnification;;;58;7;apply;H';2;E;H'0;H';Exc;sumor;sumbool;Number.number;Number.signed_int;Number.uint;Nat.t
./ex1_auto.v;SimpleUnification;;;58;8;apply;H';1;H'0;H';Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.app;Hexadecimal.rev
./ex1_auto.v;SimpleUnification;;;58;9;apply;H';0;H';H'0;;;;;;;;
./ex1_auto.v;SimpleSplitUnification;;;58;7;apply;H';2;E;H'0;H';Exc;sumor;sumbool;Number.number;Number.signed_int;Number.uint;Nat.t
./ex1_auto.v;SimpleSplitUnification;;;58;8;apply;H';1;H'0;H';Hexadecimal.hexadecimal;Hexadecimal.signed_int;Hexadecimal.uint;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.app;Hexadecimal.rev
./ex1_auto.v;SimpleSplitUnification;;;58;9;apply;H';0;H';H'0;;;;;;;;
